科目代碼,會計科目,日期,傳票號碼,種類,摘要,本幣借方金額,本幣貸方金額,借貸,餘額,幣別,匯率,原幣借方金額,原幣貸方金額
2145,應付費用 ,2024/12/31,11212310002,3,應付款 ,0.0,"15,120,000",貸,1674692.0,CNY,4.503,0.0,3357761.49
2145,應付費用 ,2024/12/31,11212310003,3,應付款 ,0.0,"45,150,000",貸,2126192.0,JPY,0.2119,0.0,213072203.87
2145,應付費用 ,2024/12/31,11212310004,3,應付款 ,0.0,"1,098,000",貸,2137172.0,JPY,0.2119,0.0,5181689.48
2145,應付費用 ,2024/12/31,11212310005,3,應付款 ,0.0,"9,000,000",貸,2227172.0,CNY,4.503,0.0,1998667.55
2145,應付費用 ,2024/12/31,11212310006,3,應付款 ,0.0,"28,000",貸,2227452.0,USD,32.835,0.0,852.75
2145,應付費用 ,2024/12/31,11212310007,3,應付款 ,0.0,"281,400",貸,2230266.0,USD,32.835,0.0,8570.12
2145,應付費用 ,2024/12/31,11212310008,3,應付款 ,0.0,"5,824,100",貸,2288507.0,CNY,4.503,0.0,1293382.19
2145,應付費用 ,2024/12/31,11212310009,3,應付款 ,0.0,"5,484,800",貸,2343355.0,JPY,0.2119,0.0,25883907.5
2145,應付費用 ,2024/12/31,11212310010,3,應付款 ,0.0,"2,120,000",貸,2364555.0,JPY,0.2119,0.0,10004719.21
2145,應付費用 ,2024/12/31,11212310011,3,應付款 ,0.0,"12,682,700",貸,2491382.0,CNY,4.503,0.0,2816500.11
2145,應付費用 ,2024/12/31,11212310012,3,應付款 ,0.0,"1,360,200",貸,2504984.0,CNY,4.503,0.0,302065.29
2145,應付費用 ,2024/12/31,11212310014,3,應付帳 ,0.0,"12,328,300",貸,2628267.0,CNY,4.503,0.0,2737797.02
2990,代收款項 ,2024/12/31,11212310001,3,12月勞.健保自付 ,0.0,"1,417,100",貸,48988.0,JPY,0.2119,0.0,6687588.49
2990,代收款項 ,2024/12/31,11212310011,3,11月份勞.健保自付 ,1417100.0,0,貸,34817.0,CNY,4.503,314701.31,0.0
5595,製-消耗品費 ,2024/12/31,11212310004,3,螺絲 ,1045700.0,0,借,1279014.0,JPY,0.2119,3357761.49,0.0
5595,製-消耗品費 ,2024/12/31,11212310008,3,活葉.電料等 ,336100.0,0,借,1282375.0,CNY,4.503,202925908.45,0.0
5620,製-其他費用 ,2024/09/05,11209050009,3,挖土及清理管路等 ,2300000.0,0,借,23000.0,JPY,0.2253,1218743.06,0.0
5620,製-其他費用 ,2024/09/19,11209190001,3,煙囪鋼構架及出料車平台 設 計及簽證費 ,20000000.0,0,借,223000.0,USD,31.985,4934874.94,0.0
5620,製-其他費用 ,2024/10/21,11210210007,3,灌漿及挖土機作業等 ,9450000.0,0,借,317500.0,JPY,0.2154,74639.13,0.0
6010,薪資支出 ,2024/12/31,11212310001,3,12月份部分薪資 ,18000000.0,0,借,7945718.0,JPY,0.2119,84945729.12,0.0
